post_id,plage_cote,nature_rando,gastronomie,culture_histoire,velo,voile,campervan,ski,activites_famille,detente,shopping,roadtrip,citytrip,hiver,printemps,ete,automne,2_3_jours,semaine,plus,economique,medium,eleve,bebes,kids,ados,france,angleterre,mediterranee,europe,sans_decalage,plus_loin
31217,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0
3216,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,2,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0
19479,0,0,1,2,0,0,0,0,2,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0
30540,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0
17032,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0
5071,0,0,2,2,0,0,0,0,2,0,0,0,0,2,2,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
15953,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0
13220,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0
24756,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1
65658,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
66967,1,1,0,1,0,0,0,0,1,2,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0
12739,2,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0
12940,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0
26690,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
2561,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,2,1,1,1,0,0,1,1,0
16100,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
12229,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
40039,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0
11526,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,2,1,1,1,0,0,1,1,0
19846,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
27755,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
67275,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0
26662,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
26605,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0
26773,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,2,1,1,1,0,0,1,1,0
2284,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,2,1,1,1,0,0,1,1,0
2534,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,2,1,1,1,0,0,1,1,0
26852,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,2,1,1,1,0,0,1,1,0
